anime_name,anime_year,anime_genre,anime_views,number_of_episodes,anime_url,anime_comments,anime_description,image,ongoing
Доблесть 2 сезон,2013,"['Комедия', 'Пародия', 'Приключения', 'Сёнэн', 'Фэнтези']",2063,13,https://animestars.org/aniserials/video/comedy/919-doblest-2-sezon.html,1,"Пока все считают Короля Демоном могущественным и страшным злом, аниме «Доблесть» поведает о других последствиях. Оказывается, в лице маленькой девочки, год десяти, вселилось что-то, что вылезло с разлома и начало осуществлять план возмездия. Ещё тысячу лет назад, демону пришлось встретиться с воинами, и умереть. За свои юные годы, красавица натворила много беды, но сегодня, она...",https://animestars.org/uploads/posts/2020-10/1602659994_1.webp,0
Доблесть 1 сезон,2013,"['Комедия', 'Пародия', 'Приключения', 'Сёнэн', 'Фэнтези']",11981,13,https://animestars.org/aniserials/video/comedy/918-doblest-1-sezon.html,1,"Придя на Землю, владыка ужаса, очень скоро будет подавлен и уничтожен. Рчимедас, с аниме «Доблесть», начинает путь от обычного юноши, и заканчивает величайшим победителем. Именно ему, тысячу лет назад, уже удалось справиться с могущественным демоном, и уничтожить его. Никто не догадывался, что малец, заплатил собственную жизнь, лишь бы помочь человечеству дышать на полную грудь....",https://animestars.org/uploads/posts/2020-10/1602659563_1.webp,0
Невиданный цветок,2011,"['Драма', 'Повседневность', 'Сверхъестественное', 'Сэйнэн']",6609,11,https://animestars.org/aniserials/video/drama/917-nevidannyj-cvetok.html,1,"Дзинта, в столь юному возрасте, становиться обычным хикикомори, о чём расскажет экранизация «Невиданный цветок». История рассказывает, что парнишка не всегда был скучным, закрытым от мира, с ним что-то случилось. Вместе с другими приятелями, они были веселой компанией, умело общались с девушками, проводили время со смехом. Однако смерть Мэйко перепортила все планы, после чего,...",https://animestars.org/uploads/posts/2020-10/1602586291_1.webp,0
Небо,2007,"['Драма', 'Мистика', 'Повседневность', 'Романтика', 'Сверхъестественное']",6119,13,https://animestars.org/aniserials/video/drama/913-nebo.html,0,"Вымышленный городок Канами, всем напоминает великий регион Нагасаки. Моримия, обычный ученик средней школы, никогда не нуждающийся в поддержке со стороны родителей, но сейчас, в его жизнь ворвется несправедливость. Парнишка увлекается фотографиями, ему нравиться все, что связанно с искусством. Больше всего герой отдает времени, снимая на камеру небо. Сегодня, прибыв на фотоссесию,...",https://animestars.org/uploads/posts/2020-10/1602527796_1.webp,0
Кайдзи 2 сезон,2011,"['Игра', 'Психология', 'Сэйнэн', 'Триллер']",4803,26,https://animestars.org/aniserials/video/game/912-kajdzi-2-sezon.html,0,"В предыдущий раз, о чём гласит аниме «Кайдзи», Ито удалось справиться с проблемами, и он стал звездой. Но, не смотря на улучшение положения, он вновь проигрывает всю прибыль. Корпорация «Тэйай», где парень был должен деньги, окажется, что долг лишь увеличился в два раза, и теперь на него может начаться настоящая война. Кредиторы сумели поймать парня, не давая тому возможности...",https://animestars.org/uploads/posts/2020-10/1602506945_1.webp,0
Кайдзи 1 сезон,2007,"['Игра', 'Психология', 'Сэйнэн', 'Триллер']",8665,26,https://animestars.org/aniserials/video/game/911-kajdzi-1-sezon.html,1,"Ито с аниме «Кайдзи» бездельник, он вовсе не готов к работе и всем, что связанно с тяжелыми буднями. Все, что умеет парень: всаживать деньги на дешёвое пойло, стоящее копейки и азартные игры. Действительно, проиграв кучу денег, ведь он не умеет удержаться от автоматов и карточных игр, да и играть, толком не научился. Внезапно в его разрушенный жизнью дом приходит мужчина с...",https://animestars.org/uploads/posts/2020-10/1602505886_1.webp,0
Мелочи жизни,2011,"['Комедия', 'Повседневность', 'Сёнэн', 'Школа']",2971,26,https://animestars.org/aniserials/video/comedy/910-melochi-zhizni.html,1,"Лишь в школе, человеку удается отдыхать душой и телом, не задумываясь о дальнейших проблемах. Аниме «Мелочи жизни» поведает о небольших открытиях, ежедневных изменениях в школьниках и их обитании. История расскажет, что детки не совсем просты, пока один добирается в школу не на велосипеде, не на машине, а на – козле, второй является девочка-робот, а значит, их жизнь является...",https://animestars.org/uploads/posts/2020-10/1602409387_1.webp,0
Перекрестная игра,2009,"['Драма', 'Комедия', 'Романтика', 'Сёнэн', 'Спорт', 'Школа', 'Многосерийные']",4757,50,https://animestars.org/aniserials/video/drama/908-perekrestnaja-igra.html,1,"Семейства Цукисима и Китамура считаются родными. В аниме «Перекрестная игра», двум разным семьям предстоит взять на себя множество ответственности и помочь соперникам. Одни владеют большим магазином со спортивной атрибутикой, вторые – кафе с тренажёрами. Казалось, что между ними может стать общего. Ко, с семьи Катимура, чаще всего встречается со своими конкурентами, он привозит...",https://animestars.org/uploads/posts/2020-10/1602340183_1.webp,0
Алиса или Алиса,2018,"['Комедия', 'Повседневность', 'Сэйнэн', 'Этти']",9271,12,https://animestars.org/aniserials/video/comedy/907-alisa-ili-alisa.html,2,"Двум красавицам-сестрам по имени Алиса, предстоит нелегкая судьба. В экранизации «Алиса или Алиса», вместе с девочками живет родной брат, но почему-то он считает себя больным симптомами «сестер». Мир, знает девушек более по именам Риса и Айри, а значит, с ними легко обсудить светлое будущее. Ежедневно, героиням приходиться несладко, они встречают на пути безумных людей, влюбляются в...",https://animestars.org/uploads/posts/2020-10/1602318977_1.webp,0
Малолетние бездельники,2017,"['Комедия', 'Романтика', 'Сёнэн', 'Школа']",8728,12,https://animestars.org/aniserials/video/comedy/906-maloletnie-bezdelniki.html,3,"Молодой парнишка, не уверенный в себе, пытается познать, что такое любовь и как обрести настоящих друзей. Лента «Малолетние бездельники» становиться великой и могущественной силой для поднятия духа упавшего человека. У юноши серьезные проблемы, он действительно сильно переживает, поскольку не может найти в своём духе уверенности. Впервые ему выпал шанс пойти на свидание с самой...",https://animestars.org/uploads/posts/2020-10/1602305585_1.webp,0
