anime_name,anime_year,anime_genre,anime_views,number_of_episodes,anime_url,anime_comments,anime_description,image,ongoing
Боевой мастер,2020,"['Экшен', 'Боевые искусства', 'Драма', 'История', 'Фэнтези', 'Многосерийные', 'Китайские', 'Новинки']",240046,145,https://animestars.org/aniserials/video/action/965-boevoj-master.html,22,"Судьба героя с экранизации «Боевой мастер», перерастает в новый образ человека. Мужчина, считающий знакомых лучшими друзьями, вскоре потеряет все. Благодаря подчиненным, его предали, и смерть наступила в каньоне Смерти. Сам мужчина, красивый внешностью, уверенный в себе, но амбиции подводят. Вскоре, он перерождается в теле Чень, что правит в империи Небесного Юань. Его мама, также,...",https://animestars.org/uploads/posts/2020-10/1604074411_1.webp,1
Нулевой Эдем,2021,"['Комедия', 'Приключения', 'Сёнэн', 'Фантастика', 'Фэнтези', 'Новинки']",59717,15,https://animestars.org/aniserials/video/comedy/1078-nulevoj-jedem.html,19,"Погодите, где-то я это уже видел. Ничего вам это не напоминает? Ай, ладно, оставим очевидное и приступим смазывать мои заржавелые кости. Вы, главное, помните о том, что все совпадения с другими произведениями случайны, а схожесть главных героев с персонажами из других Аниме и Манги никак не может повлиять на конечный результат. Действие происходит в одном интересном королевстве под...",https://animestars.org/uploads/posts/2021-03/1617116384_1.webp,1
Токийские мстители,2021,"['Экшен', 'Драма', 'Сёнэн', 'Школа', 'Новинки']",80105,15,https://animestars.org/aniserials/video/action/1089-tokijskie-mstiteli.html,25,"Помни о своих поступках совершенных в прошлом, ведь спустя десятилетие теме может это припомнится стократ. О таком не думал наш главный герой Аниме «Токийские мстители». Парень во всю жил насыщенной жизнью будучи «шестеркой» одной из банд. Вы себе не можете представить, как тяжело ему жилось. Настолько тяжело, что сразу после окончания школы Такэмити Ханагаки сбежал как можно дальше...",https://animestars.org/uploads/posts/2021-04/1618151193_1.webp,1
Герой-рационал перестраивает королевство,2021,"['Война', 'Гарем', 'Романтика', 'Фэнтези', 'Новинки']",18036,3,https://animestars.org/aniserials/video/war/1128-geroj-racional-perestraivaet-korolevstvo.html,9,"Попав в совершенно другой мир наш с вами главный герой из аниме «Genjitsu Shugi Yuusha no Oukoku Saikenki» не получил никаких способностей. Его задача будет состоять в несколько других целях. Мы с вами уже привыкли видеть нашпигованных по самое не могу главных героев, которые одним взмахом руки способны уничтожать своих врагов. Здесь все будет происходить несколько иначе. Нужен...",https://animestars.org/uploads/posts/2021-07/1625774379_1.webp,1
Комендант общежития богинь,2021,"['Гарем', 'Комедия', 'Романтика', 'Сёнэн', 'Этти', 'Новинки']",2655,1,https://animestars.org/aniserials/video/garem/1131-komendant-obschezhitija-bogin.html,0,"Аниме «Комендант общежития богинь» поведает нам историю о маленьком счастливчике, который стал комендантом в женском общежитии. Но, для начала, давайте поближе познакомимся с главным героем. Парня зовут Нагумо Коси, он самый обычный парень двенадцати лет. За эти двенадцать лет его отец успел заиметь долгов как шелков. Как итог, отец бросил своё чадо на произвол судьбы после пожара в...",https://animestars.org/uploads/posts/2021-07/1626551663_1.webp,1
"Добро пожаловать в ад, Ирума 2 сезон",2021,"['Комедия', 'Сверхъестественное', 'Сёнэн', 'Фэнтези', 'Школа', 'Новинки']",87236,14,https://animestars.org/aniserials/video/comedy/1099-dobro-pozhalovat-v-ad-iruma-2-sezon.html,14,"Продолжение увлекательной истории паренька по имени Судзуки Ирума в аниме «Добро пожаловать в ад, Ирума 2 сезон» преподнесет вам новый виток его приключений. Ад – это место возможностей. Посудите сами и посмотрите на это глазами парня. Ирума не только начал ходить в школу, он обзавелся настоящими друзьями. Этого всего, парень, не смог сделать в мире людей. Кто еще сомневается в...",https://animestars.org/uploads/posts/2021-04/1619023454_1.webp,1
Ремейк нашей жизни,2021,"['Комедия', 'Романтика', 'Новинки']",8359,3,https://animestars.org/aniserials/video/comedy/1121-remejk-nashej-zhizni.html,2,"Все мы мечтали, в какой-то мере, вернуться назад во времени и исправить ошибки, совершенные нами. Как же хотелось бы даже сейчас получить возможность воспользоваться столь ценным даром судьбы. Аниме «Ремейк нашей жизни» дает главному герою такой шанс. Жизнь всегда течет своим чередом. Мы не в состоянии контролировать некоторые аспекты в ней, но, в тоже самое время, мы можем...",https://animestars.org/uploads/posts/2021-07/1625396604_1.webp,1
Моя геройская академия 5 сезон,2021,"['Экшен', 'Комедия', 'Сёнэн', 'Школа', 'Новинки']",101629,16,https://animestars.org/aniserials/video/action/1074-moja-gerojskaja-akademija-5-sezon.html,32,"Вот уже в 5-ый раз на ваших экранах появится аниме «Boku no Hero Academia». Каждый раз наблюдая за главным героем, ты открываешь его с какой-то новой для себя стороны. Новые события влекут за собой новые переживания. Мидория с каждым разом все лучше контролирует свою причуду. Вместе с ним как всегда его верные друзья. Не стоит забывать о врагах, которые жаждут натворить как можно...",https://animestars.org/uploads/posts/2021-03/1616877266_1.webp,1
Ре-Мейн,2021,"['Спорт', 'Школа', 'Новинки']",1332,2,https://animestars.org/aniserials/video/sports/1130-re-mejn.html,0,"В нашей жизни очень мало справедливости. Эту самую «справедливость» почувствовал главный герой аниме «Re-Main», который попал в кому. Будучи подающим надежды юноша, не может теперь занимать своим любимым делом. Игра в водное поло должна была стать его жизнью. Вместе со своей командой подняться на мировую вершину. Казалось бы, этому ничего не могло помешать, если бы не трагедия,...",https://animestars.org/uploads/posts/2021-07/1626545689_1.webp,1
Идеальный мир,2021,"['Боевые искусства', 'Приключения', 'Сёнэн', 'Фэнтези', 'Многосерийные', 'Китайские', 'Новинки']",71477,15,https://animestars.org/aniserials/video/martial_arts/1105-idealnyj-mir.html,5,"Сражаясь за выживание, ты постигнешь самые потаенные знания, которые только может постичь человек. Получив благословение Богов наш главный герой из Аниме «Безупречный мир» будет сражаться из-за всех сил за свой клан во имя его спасения. Каждый день будет наполнен новыми опасностями. Каждое сражение даст неповторимый опыт, а духовное развитие, со временем, достигнет самих небес и...",https://animestars.org/uploads/posts/2021-04/1619549893_1.webp,1
Боевой континент,2018,"['Экшен', 'Боевые искусства', 'История', 'Романтика', 'Фэнтези', 'Многосерийные', 'Китайские', 'Новинки']",431941,165,https://animestars.org/aniserials/video/action/605-boevoy-kontinent.html,43,"В мире Боевого Континента всё зависит от твоих навыков. Совершенствуйся и развивайся. Таким образом, ты сможешь постичь невиданных высот. Сила решает всё. Стоит тебе стать одаренным культиватором, становление великим человеком не станет проблемой. Известность, деньги, девушки. Ты сможешь получить абсолютно всё, что только пожелаешь. Титул Мастера Духов желает получить каждый ребенок...",https://animestars.org/uploads/posts/2019-11/1574703988_1.jpg,1
Мои девушки,2021,"['Комедия', 'Повседневность', 'Романтика', 'Сёнэн', 'Школа', 'Новинки']",12884,3,https://animestars.org/aniserials/video/comedy/1120-moi-devushki.html,6,"Аниме «Мои девушки» расскажет вам историю одного простого паренька, который решил поверить в себя. Задайтесь вопросом, как часто же вы решались встречаться одновременно с двумя девушками? Прежде чем дать ответ на этот вопрос, хорошенько подумайте над ответом. Наш главный герой примерно так и решил поступить. Жизнь пареньку казалась скучной, и он решил привнести в нее немного красок....",https://animestars.org/uploads/posts/2021-07/1625344206_1.webp,1
Властелин всех миров,2019,"['Боевые искусства', 'Приключения', 'Фэнтези', 'Многосерийные', 'Китайские', 'Новинки']",122891,146,https://animestars.org/aniserials/video/martial_arts/675-vlastelin-vseh-mirov.html,8,"Перевоплощение в теле другого человека… С таким еще никогда не встречались и не сталкивались. Но, это в нашем мире, а как насчет других миров? Один из таких миров и предстанет перед нашими глазами. Мир, где все еще ведется борьба за право владеть страной путем войны и кровопролития. Где Дипломатия может решать не так много, где решают связи и договоренности. Ты всегда можешь быть...",https://animestars.org/uploads/posts/2020-01/1580309998_1.jpg,1
Мемуары Ванитаса,2021,"['Вампиры', 'История', 'Сверхъестественное', 'Сёнэн', 'Фэнтези', 'Новинки']",9835,3,https://animestars.org/aniserials/video/vampires/1118-memuary-vanitasa.html,4,"Чего могут бояться вампиры по вашему скоромному мнению? Многие скажут за чеснок, крест, святую воду и осиный кол в сердце. Да, осиный кол в сердце может убить любого, не только вамира… Так о чем это Я? События, происходящие в аниме «Мемуары Ванитаса» поведают нам о необычной книге, которую в древние времена создал вампир-изгой. Бедняге не повезло родиться в ночь луны Ванитаса. Все...",https://animestars.org/uploads/posts/2021-07/1625253576_1.webp,1
Моя реинкарнация в отомэ-игре в качестве главной злодейки 2 сезон,2021,"['Гарем для девушек', 'Драма', 'Комедия', 'Романтика', 'Сёдзё', 'Фэнтези', 'Школа', 'Новинки']",12334,3,https://animestars.org/aniserials/video/garem-dlya-devushek/1119-moja-reinkarnacija-v-otomje-igre-v-kachestve-glavnoj-zlodejki-2-sezon.html,9,"«Моя реинкарнация в отомэ-игре в качестве главной злодейки 2 сезон» является продолжением о одном из необычных Аниме на просторах интернета. Естественно можно вспомнить и привести кучу примеров куда круче, но и этого Аниме вам хватит более чем. Живя в роскоши и будучи очень упрямой и избалованной девочкой, ты можешь удариться головой и случайно вспомнить свою прошлую жизнь. Да,...",https://animestars.org/uploads/posts/2021-07/1625331062_1.webp,1
"Персиковый мальчик, пришедший с другого побережья",2021,"['Вампиры', 'Приключения', 'Сёнэн', 'Фэнтези', 'Новинки']",19197,3,https://animestars.org/aniserials/video/vampires/1115-persikovyj-malchik-prishedshij-s-drugogo-poberezhja.html,5,"Случайная встреча может изменить вашу жизнь навсегда. Казалось бы, ну что может произойти, если ты встретил, на вид, обычного человека. Не встречай человека по одежке. События, происходящее в Аниме сериале на ваших экранах, притянут ваше внимание ничуть не хуже, чем происходящие события в мире на данный момент. Аниме «Peach Boy Riverside» повествует о девушке, которая решила...",https://animestars.org/uploads/posts/2021-07/1625147305_1.webp,1
Алый Нексус,2021,"['Экшен', 'Фантастика', 'Фэнтези', 'Новинки']",21546,3,https://animestars.org/aniserials/video/action/1114-alyj-neksus.html,4,"Стремление человечества изучить что-то новое, иногда, может стать единственной причиной его спасения. Примерно это и произошло в мире Аниме «Scarlet Nexus» где люди столкнулись с очередной угрозой уничтожения своей расы. Понимаете, люди способны противостоять не земной угрозе в том случае, если они объединят свои способности и будут стараться помогать друг другу не смотря на разницу...",https://animestars.org/uploads/posts/2021-06/1624468953_1.webp,1
Когда плачут цикады 2021,2021,"['Детектив', 'Психология', 'Сверхъестественное', 'Триллер', 'Ужасы', 'Новинки']",4293,4,https://animestars.org/aniserials/video/detective/1117-kogda-plachut-cikady-2021.html,2,"Очень мало Аниме в истории, которые могут похвастаться таким послужным списком, как наш сегодняшний герой. Аниме «Когда плачут цикады 2021» продолжает историю происходившей в прошлых сезонах, но и дает ответы на множество вопросов так и оставшихся без ответов. Это не означает, что на ваших экранах будет происходить меньше загадочных событий. Наоборот, вам бы стоило не читать сие...",https://animestars.org/uploads/posts/2021-07/1625177454_1.webp,1
Король шаманов 2021,2021,"['Комедия', 'Приключения', 'Сверхъестественное', 'Сёнэн', 'Фэнтези', 'Многосерийные', 'Новинки']",102490,16,https://animestars.org/aniserials/video/comedy/1079-korol-shamanov-2021.html,54,"В аниме Shaman King будет поведано о людях, которые способны видеть духов. Не трудно догадаться о том, что видеть их способен далеко не каждый. В очень близком будущем мы станем свидетелями великого турнира шаманов. За первое место в нем будет состязаться необычный паренек по имени Йо Асакура. Парень то не простой, а шаман древнего японского рода Асакура. В его приключении он...",https://animestars.org/uploads/posts/2021-04/1617305830_1.webp,1
Одинокий странник,2018,"['Экшен', 'Боевые искусства', 'История', 'Приключения', 'Романтика', 'Многосерийные', 'Китайские', 'Новинки']",135263,121,https://animestars.org/aniserials/video/action/995-odinokij-strannik.html,5,"Существа с разных миров желают осознать, какое их настоящее предназначения, и к чему стоит стремиться. Аниме «Одинокий странник» расскажет о великом восстании преисподней. Духи и племена никогда не были идентичными, они разные, что приведет к беде. Чтобы познать свой путь, было создано множество легенд и предсказаний, но только некоторым удалось сбыться. Усовершенствовав себя и свои...",https://animestars.org/uploads/posts/2020-11/1605670159_1.webp,1
Лунное путешествие приведёт к новому миру,2021,"['Комедия', 'Приключения', 'Сёнэн', 'Фэнтези', 'Новинки']",19169,2,https://animestars.org/aniserials/video/comedy/1127-lunnoe-puteshestvie-privedet-k-novomu-miru.html,5,"Главный герой аниме «Лунное путешествие приведёт к новому миру» мечтал попасть в другой мир с элементами фэнтези. Желание парня сбылось и он, внезапно, оказывается призванным в другой мир для становления героем. Стандартный шаблон сразу же разрушается, как только он оказывается никому не нужный. Бедолагу отправляют в далекие дали для его дальнейшего существования. Жалкая жизнь...",https://animestars.org/uploads/posts/2021-07/1625681327_1.webp,1
Аптека в другом мире,2021,"['Комедия', 'Фэнтези', 'Новинки']",6733,2,https://animestars.org/aniserials/video/comedy/1129-apteka-v-drugom-mire.html,3,"Нам с вами не привыкать видеть приключения попаданцев в другой мир. Аниме «Аптека в другом мире» не стало исключением. Скорее, история, которую нам с вами покажут, будет не совсем обычной. Видеть подростков в другом мире с силой, способной уничтожить континент, мы уже привыкли. А как насчет простого парня, который решил построить свою жизнь будучи обычным фармацевтом. Теперь его...",https://animestars.org/uploads/posts/2021-07/1625825675_1.webp,1
Момент вечности,2020,"['Боевые искусства', 'История', 'Комедия', 'Приключения', 'Романтика', 'Фэнтези', 'Многосерийные', 'Китайские', 'Новинки']",72308,51,https://animestars.org/aniserials/video/martial_arts/1107-moment-vechnosti.html,16,"Главный герой Аниме «Yi Nian Yong Heng» может показаться вам очень ленивым, но вы и представить себе не можете, какой багаж знаний стоит у него за плечами. Именно поэтому, когда наступает время чему-то обучаться, парень по имени Бай Сяочунь нисколько не проявляет к этому рвения. Знать о том, какие опасности ждут тебя впереди и подготовиться к ним, бывает, крайне трудно. Пока парень...",https://animestars.org/uploads/posts/2021-04/1619800001_1.webp,1
Главный духовный мастер,2020,"['Экшен', 'Боевые искусства', 'Драма', 'История', 'Романтика', 'Фэнтези', 'Китайские', 'Новинки']",73167,82,https://animestars.org/aniserials/video/action/966-glavnyj-duhovnyj-master.html,0,"Фантастические истории связывают людей с потусторонней силой. Аниме «Главный духовный мастер» поведает о великих открытиях и вселенной добра. Существуют духи, сумевшие перевоплотиться в различные предметы, а порой, их жертвой выступают люди. Легенды гласят: в мире существуют люди, сумевшие приручить подобных представителей второсортного мира, сделав их своими подчиненными....",https://animestars.org/uploads/posts/2020-10/1604095951_1.webp,1
О моём перерождении в слизь 2 сезон 2 часть,2021,"['Комедия', 'Приключения', 'Сёнэн', 'Фэнтези', 'Новинки']",27168,2,https://animestars.org/aniserials/video/comedy/1126-o-moem-pererozhdenii-v-sliz-2-sezon-2-chast.html,12,"Аниме «О моём перерождении в слизь 2 сезон 2 часть» в который раз уже возвращается на наши экраны. Эпичность продолжения не может не зашкаливать. Скучно уж точно не будет, ведь как может быть скучно со слизью, которая не только смогла подружиться с некоторыми соседними королевствами, но и стать владыкой демонов? Однозначно, несомненно наша слизь не здорового человека в который раз...",https://animestars.org/uploads/posts/2021-07/1625604562_1.webp,1
Мифический дух: Хроники,2021,"['Гарем', 'Драма', 'Кемонобито', 'Приключения', 'Романтика', 'Фэнтези', 'Новинки']",15661,2,https://animestars.org/aniserials/video/garem/1125-mificheskij-duh-hroniki.html,3,"Стали ли бы вы мстить за родителей? Представьте, что сегодня вы засыпали под сказку любимой мамы, а на следующий день некие негодяи отнимают её жизнь? «Мифический дух: Хроники» как раз и расскажут историю парня, который попал в другой мир и оказался в теле мальчика, потерявшего свою мать. Жажда мести не может привести к хорошим последствиям. В пылу ярости бедняга может натворить...",https://animestars.org/uploads/posts/2021-07/1625601005_1.webp,1
"Для тебя, Бессмертный",2021,"['Драма', 'Мистика', 'Приключения', 'Сверхъестественное', 'Сёнэн', 'Трагедия', 'Новинки']",89855,13,https://animestars.org/aniserials/video/drama/1092-dlja-tebja-bessmertnyj.html,31,"Это необычное нечто прибыло из космоса для одних известных ему целей на нашу планету. Способность принимать форму существ, которые умерли нельзя назвать самым удачным. Невозможно описать и передать эмоции, с которыми сталкивается это «Существо». Вы себе только представьте, каково это переносить всю ту боль, которое испытывает живое существо перед смертью. И вот, это нечто встретило...",https://animestars.org/uploads/posts/2021-04/1618250633_1.webp,1
Ван Пис,1999,"['Боевые искусства', 'Драма', 'Комедия', 'Приключения', 'Сёнэн', 'Фэнтези', 'Многосерийные', 'Новинки']",652321,982,https://animestars.org/aniserials/video/martial_arts/33-van-pis-one-piece.html,83,"«Ван-Пис» One Piece – очень популярный остросюжетный пиратский аниме-сериал, в котором действие разворачивается в вымышленной вселенной, есть всего один континент, называемый Ред-Лайн и где самым главным являлся Король пиратов. Против пиратов ведет борьбу Морской дозор. Семь корсаров отдают часть своей добычи Мировому правительству и другие пираты их презирают. В этом аниме мире...",https://animestars.org/uploads/posts/2020-09/1600041305_1.webp,1
Детектив уже мёртв,2021,"['Детектив', 'Драма', 'Комедия', 'Романтика', 'Школа', 'Новинки']",8940,2,https://animestars.org/aniserials/video/detective/1123-detektiv-uzhe-mertv.html,5,"Увлекательная история в Аниме «Детектив уже мёртв» никого не оставит равнодушным. Бедного, простого, ничем не примечательного парня заставили следить за черным дипломатом люди в черном. Необычная завязка, не правда ли? Парень мог ожидать чего угодно, но никак не то, что будет происходить с ним в будущем. Он мог, как обычный парень, устроиться на работу, найти себе девушку, создать...",https://animestars.org/uploads/posts/2021-07/1625428472_1.webp,1
Смертоносный герцог и его чёрная горничная,2021,"['Драма', 'Комедия', 'Романтика', 'Сверхъестественное', 'Новинки']",9147,2,https://animestars.org/aniserials/video/drama/1124-smertonosnyj-gercog-i-ego-chernaja-gornichnaja.html,3,"Очень грустная история предстанет перед вашими экранами в Аниме «Смертоносный герцог и его чёрная горничная». Нашего главного героя постигла очень тяжелая судьба. Бедный парень может убить любого простым своим прикосновением. Каждый день для него как мука. Он не может, как вы понимаете, к другому человеку. Одиночество постепенно пожирает его изнутри. Беднягу сослали в резиденцию...",https://animestars.org/uploads/posts/2021-07/1625490486_1.webp,1
БОРУТО: Новое поколение Наруто,2017,"['Экшен', 'Боевые искусства', 'Комедия', 'Приключения', 'Сёнэн', 'Фэнтези', 'Многосерийные', 'Новинки']",436559,207,https://animestars.org/aniserials/video/action/72-boruto-boruto.html,59," Спустя несколько лет после битвы между призраками мир наконец-то стал развиваться и занял свое положенное место. Наруто стал знаменитым и великим воином, он смог приручить своего внутреннего зверя и доказать всем, что даже дзинтюрики может быть выдающимся лидером. Наруто был сиротой и изгоем своего народа, поэтому он всего добился самостоятельно. Ему пришлось прожить множество лет...",https://animestars.org/uploads/posts/2017-04/1491681175_1.jpg,1
Почётная ученица в школе магии,2021,"['Мистика', 'Фантастика', 'Фэнтези', 'Школа', 'Новинки']",11841,2,https://animestars.org/aniserials/video/mystery/1122-pochetnaja-uchenica-v-shkole-magii.html,5,"Когда мы говорим о магии, то мы мыслим о таинственном, древнем «колдовстве». Все это показывают нам на просторах телевизоров, мы читаем сказки детям на ночь. Да чего уж там, мы бы хотели владеть каким-то даром и иметь возможность влиять на окружающих своими «способностями». Помечтали и хватит, ведь магия стала реальностью уже в наши дни. Современные технологии, казалось бы, достигли...",https://animestars.org/uploads/posts/2021-07/1625422605_1.webp,1
Бесподобный боевой дух,2020,"['Экшен', 'Боевые искусства', 'Фэнтези', 'Китайские', 'Новинки']",151560,73,https://animestars.org/aniserials/video/action/1002-bespodobnyj-boevoj-duh.html,5,"Вселенная Лунмай отличается от других территорий могуществом живущих людей. Здесь, в аниме «Бесподобный боевой дух», присутствует множество сектантов, жителей, умело пользующих собственными способностями. Порой, мастер боевого искусства, славиться не просто уважением, а получает особый статус. Пока сильные умудряются править окружающей средой, окажется, что слабые забывают о своём...",https://animestars.org/uploads/posts/2020-11/1606096869_1.webp,1
Страна таинственных сокровищ,2021,"['Детектив', 'Драма', 'Мистика', 'Фантастика', 'Фэнтези', 'Китайские']",24845,10,https://animestars.org/aniserials/video/detective/1111-strana-tainstvennyh-sokrovisch.html,3,"На ваших экранах не обычное Аниме под названием «Mi Bao Zhi Guo». Повествует сие творение о неких путешественниках, которые только на первый взгляд покажутся вам обычными. Но, где вы видели на просторах Аниме хоть что-то обычное? Шутка, конечно же. Так вот, работа у этих людей очень необычная. Их задачей является возвращение духам их памяти. Для чего духу может понадобиться его...",https://animestars.org/uploads/posts/2021-05/1620749388_1.webp,0
Дом теней,2021,"['Мистика', 'Повседневность', 'Сверхъестественное', 'Сэйнэн']",22632,13,https://animestars.org/aniserials/video/mystery/1093-dom-tenej.html,3,"Вы когда-то видели человека без лица? Странный вопрос, но вы только задумайтесь. Как можно смотреть на человека, у которого нет лица. Человек ли это вовсе, либо это некое существо, которое попало к нам неизвестно откуда? Аниме «Дом теней» расскажет нам историю о тех, кто служат хозяевам дома, у которых, попросту, нет лиц. Мои слова не должны вас смущать, дорогие читатели. Вы должны...",https://animestars.org/uploads/posts/2021-04/1618267416_1.webp,0
"Да, я паук, и что же?",2021,"['Детектив', 'Комедия', 'Приключения', 'Фэнтези']",318543,24,https://animestars.org/aniserials/video/detective/1018-da-ja-pauk-i-chto-zhe.html,130,"Попав в другой мир наша главная героиня из аниме «Да я паук и что же?» не стала выдающейся героиней и спасительницей всего живого от зла мира сего. В первую очередь нужно было осознать себя, ведь ты оказалась в теле, кого бы вы подумали, паука. Именно паука и именно в неизвестном подземелье. Конечно, откуда ему быть известным, оно же из другого мира в конце то концов. Мы привыкли...",https://animestars.org/uploads/posts/2020-12/1607158386_1.webp,0
Сонни Бой,2021,"['Романтика', 'Фантастика', 'Новинки']",5017,1,https://animestars.org/aniserials/video/romance/1116-sonni-boj.html,1,"Аниме с очень интересным названием «Sonny Boy» поведает вам историю о переносе цйелого класса в другой мир. В такой ситуации очень сложно держать себя в руках, да еще и предугадать, что же будет дальше. Нужно всем срочно объединиться и искать выход из ситуации, в которой оказались бедные дети. Конечно же они, а кто же еще может попадать в другой мир? События, которые будут...",https://animestars.org/uploads/posts/2021-07/1625170437_1.webp,1
"Романтическая комедия, в которой подруга детства ни за что не проиграет",2021,"['Гарем', 'Комедия', 'Романтика', 'Школа']",48566,12,https://animestars.org/aniserials/video/garem/1096-romanticheskaja-komedija-v-kotoroj-podruga-detstva-ni-za-chto-ne-proigraet.html,3,"Мы с вами уже не в первый раз видим такое на экранах. Перед вами Аниме под названием «Романтическая комедия, в которой подруга детства ни за что не проиграет» которое и расскажет о любовном многоугольнике. Парень любит девушку, девушка любит другого, другая любит другого и так по кругу. На вашем экране будет разворачиваться своего рода «Клоунада». Вместо того, чтобы разобраться в...",https://animestars.org/uploads/posts/2021-04/1618419856_1.webp,0
Корзинка фруктов: Финал,2021,"['Драма', 'Комедия', 'Повседневность', 'Романтика', 'Сверхъестественное', 'Сёдзё']",18765,13,https://animestars.org/aniserials/video/drama/1108-korzinka-fruktov-final.html,6,"Сложно выделить кого-то одного из Аниме «Fruits Basket The Final» и вручить ему почетное звание главного героя. Это очень цепляет, когда, наблюдая за Хондой Тору, ты никак не выпускаешь из поля зрения других героев. Каждый новый день приносит все больше открытий. Девушка стала посвященной в тайну семьи Сома. Эта тайна, на первый взгляд кажется самой обычной, только вот стоит...",https://animestars.org/uploads/posts/2021-05/1620244856_1.webp,0
Красный Марс,2021,"['Экшен', 'Вампиры', 'Война', 'История', 'Сверхъестественное']",61474,13,https://animestars.org/aniserials/video/action/1077-krasnyj-mars.html,13,"События аниме с интересным названием Mars Red поведает нам о очень интересной истории противостояния людей и вампиров. Вы себе только представьте. Одна раса целиком зависит от другой. Если люди вымрут, то и вампиры как раса, питающаяся кровью будет полностью уничтожена сама по себе. Все меняется сразу же в тот момент, когда в мире появляется искусственный источник крови под...",https://animestars.org/uploads/posts/2021-03/1617110904_1.webp,0
Я побрился. Затем привёл домой старшеклассницу,2021,"['Драма', 'Психология', 'Романтика']",77484,13,https://animestars.org/aniserials/video/drama/1082-ja-pobrilsja-zatem-privel-domoj-starsheklassnicu.html,29,"Вас ждет очень увлекательная и трогательная история двух людей. Они настолько разные, но в тоже самое время становятся очень похожими по мере того, как вы будете узнавать их поближе. И так, парня зовут Ёсида. Он парень видный, работает в крупной IT-компании, где себе и на жизнь можно заработать и состояние получить в перспективе не маленькое. В общем, на перспективу парень хоть...",https://animestars.org/uploads/posts/2021-04/1617645184_1.webp,0
"Прощай, мой дорогой Крамер",2021,"['Драма', 'Комедия', 'Сёнэн', 'Спорт']",15283,13,https://animestars.org/aniserials/video/drama/1086-proschaj-moj-dorogoj-kramer.html,0,"Футбол существует с незапамятных времен. Еще тогда было понятно, что в будущем этот вид спорта будет одним из самых популярных в мире. Играют, в него, ведь, даже дети на улице. От мала до велика парни и девушки. Не удивляйтесь представительницам женского пола в этом виде спорта. Наша главная героиня так вообще проявила чертовски серьезный талант в футболе еще в средней школе. Её...",https://animestars.org/uploads/posts/2021-04/1617898624_1.webp,0
Царство 3 сезон,2020,"['Экшен', 'Война', 'История', 'Сэйнэн', 'Новинки']",55438,13,https://animestars.org/aniserials/video/action/740-carstvo-3-sezon.html,18,"В следствии политических игр на поприще войны можно потерять очень близких друзей. Синь Ли, наш главный герой, так вообще из-за войны стал сиротой. Не удивительно, что паренька потянуло в армию. Его план был очень прост. Он очень хотел вырасти по карьерной лестнице и используя своё влияние изменить страну к лучшему. Для становления генералом нужно пройти очень долгий пусть от...",https://animestars.org/uploads/posts/2020-04/1586449038_1.jpg,1
Патриотизм Мориарти 2 сезон,2021,"['Детектив', 'История', 'Психология', 'Сёнэн', 'Триллер']",29054,13,https://animestars.org/aniserials/video/detective/1076-patriotizm-moriarti-2-sezon.html,3,"Продолжение истории о выдающемся детективе Шерлоке Холмсе. Его, не меньше известный оппонент, Мориарти, продолжают соперничество между собой. Каждая новая серия проливает свет на то, какие эти люди в реальной жизни, чего они оба хотят на самом деле и какие цели преследуют. За Мориарти мы знаем. Этот парень желает уничтожить классовое неравенство. Его дико раздражает тот факт, что...",https://animestars.org/uploads/posts/2021-03/1617110367_1.webp,0
